STUSAB,GEOID,STATE,COUNTY,UR,NAME,Total_20,WNH_20,Hispanic_20,Black_20,AIAN_20,Asian_20,PI_20,Other_20
FL,12001,12,001,NA,Alachua County,278468,160463,33614,58352,5132,22074,472,26184
FL,12003,12,003,NA,Baker County,28259,22185,973,4108,591,267,54,806
FL,12005,12,005,NA,Bay County,175216,128348,13846,21199,5420,6548,615,12010
FL,12007,12,007,NA,Bradford County,28303,20320,1350,5857,512,254,49,890
FL,12009,12,009,NA,Brevard County,606612,430936,67907,71790,13810,23654,1694,55742
FL,12011,12,011,NA,Broward County,1944375,644230,608703,587444,23173,95825,3642,505711
FL,12013,12,013,NA,Calhoun County,13648,10490,622,1878,597,137,59,383
FL,12015,12,015,NA,Charlotte County,186847,153700,14079,11714,3179,3643,305,11955
FL,12017,12,017,NA,Citrus County,153843,131477,9241,5799,3389,3234,218,7439
FL,12019,12,019,NA,Clay County,218245,148986,23134,31671,5888,10090,977,18103
FL,12021,12,021,NA,Collier County,375752,235455,102249,26781,5170,7605,447,81848
FL,12023,12,023,NA,Columbia County,69698,49096,5063,12772,1583,1173,109,3855
FL,12027,12,027,NA,DeSoto County,33976,18624,10011,4610,552,265,46,7392
FL,12029,12,029,NA,Dixie County,16759,13750,688,1762,412,117,38,495
FL,12031,12,031,NA,Duval County,995567,492039,112689,317860,19536,63108,3108,94121
FL,12033,12,033,NA,Escambia County,321905,200962,20793,75810,9954,14913,1222,16966
FL,12035,12,035,NA,Flagler County,115378,84291,12299,13230,2233,3474,208,10096
FL,12037,12,037,NA,Franklin County,12451,9798,675,1596,306,64,20,551
FL,12039,12,039,NA,Gadsden County,43826,14093,5093,24018,685,282,73,4231
FL,12041,12,041,NA,Gilchrist County,17864,14827,1348,980,542,164,42,1116
FL,12043,12,043,NA,Glades County,12126,7132,3050,1563,357,93,18,1996
FL,12045,12,045,NA,Gulf County,14192,11222,555,1889,429,119,30,452
FL,12047,12,047,NA,Hamilton County,14004,7633,1455,4674,215,121,20,1070
FL,12049,12,049,NA,Hardee County,25327,11873,10604,2437,495,262,32,7507
FL,12051,12,051,NA,Hendry County,39619,12089,22112,4789,1035,494,64,15244
FL,12053,12,053,NA,Hernando County,194515,144060,29045,13615,4663,3939,411,21686
FL,12055,12,055,NA,Highlands County,101235,65511,20943,11538,1870,2089,200,15110
FL,12057,12,057,NA,Hillsborough County,1459762,667791,427381,277681,28226,88572,3538,325290
FL,12059,12,059,NA,Holmes County,19653,16766,688,1431,583,165,37,458
FL,12061,12,061,NA,Indian River County,159788,117422,20832,15339,2578,3225,211,16986
FL,12063,12,063,NA,Jackson County,47319,30629,2215,12923,1175,427,65,1691
FL,12065,12,065,NA,Jefferson County,14510,8720,658,4776,268,129,45,577
FL,12067,12,067,NA,Lafayette County,8226,6074,938,1114,108,40,40,648
FL,12069,12,069,NA,Lake County,383956,253214,65375,46821,8117,11727,846,52441
FL,12071,12,071,NA,Lee County,760822,490476,173161,70156,12190,17562,984,137225
FL,12073,12,073,NA,Leon County,292198,157458,22914,94754,5329,13613,506,17419
FL,12075,12,075,NA,Levy County,42915,32874,4080,4293,1197,475,81,3101
FL,12077,12,077,NA,Liberty County,7974,5729,562,1448,254,60,25,389
FL,12079,12,079,NA,Madison County,17968,10132,881,6555,296,117,29,681
FL,12081,12,081,NA,Manatee County,399710,273101,70979,37821,7068,11157,629,57221
FL,12083,12,083,NA,Marion County,375908,253837,55910,51272,8284,8330,684,43270
FL,12085,12,085,NA,Martin County,158431,119216,24187,9197,3127,3262,216,19255
FL,12086,12,086,NA,Miami-Dade County,2701767,361517,1856938,459239,24567,58835,2554,1421158
FL,12087,12,087,NA,Monroe County,82874,54731,19432,5859,1420,1793,167,14342
FL,12089,12,089,NA,Nassau County,90352,75817,4449,6114,2079,1639,214,3877
FL,12091,12,091,NA,Okaloosa County,211668,146271,22578,25301,7168,11955,1246,18217
FL,12093,12,093,NA,Okeechobee County,39644,24671,9857,3858,977,445,66,7305
FL,12095,12,095,NA,Orange County,1429908,531362,473025,318041,25408,96917,4224,393127
FL,12097,12,097,NA,Osceola County,388656,113362,211089,54280,7931,15519,1239,165645
FL,12099,12,099,NA,Palm Beach County,1492191,779759,349933,290102,22690,56311,2445,286586
FL,12101,12,101,NA,Pasco County,561891,392375,93157,45042,12432,22297,1151,71322
FL,12103,12,103,NA,Pinellas County,959107,684463,102439,110668,18157,43838,2038,85436
FL,12105,12,105,NA,Polk County,725046,392621,187695,121834,16202,17955,1363,140880
FL,12107,12,107,NA,Putnam County,73321,50541,7816,12490,1854,758,143,6329
FL,12109,12,109,NA,St. Johns County,273425,214428,22607,17004,4996,13582,588,19273
FL,12111,12,111,NA,St. Lucie County,329226,176533,66320,74198,5849,8282,696,53328
FL,12113,12,113,NA,Santa Rosa County,188000,147518,11890,14124,6691,7272,939,9843
FL,12115,12,115,NA,Sarasota County,434006,349700,43236,21426,6372,11289,553,38206
FL,12117,12,117,NA,Seminole County,470856,264072,106539,65885,9224,32161,1133,82408
FL,12119,12,119,NA,Sumter County,129752,109213,7583,9378,1696,1616,145,5328
FL,12121,12,121,NA,Suwannee County,43474,31664,4785,5488,986,420,71,3697
FL,12123,12,123,NA,Taylor County,21796,15629,866,4445,544,292,24,545
FL,12125,12,125,NA,Union County,16147,11585,764,3406,301,95,29,520
FL,12127,12,127,NA,Volusia County,553543,379527,82652,67950,11981,14546,986,64659
FL,12129,12,129,NA,Wakulla County,33764,25987,1577,4645,1011,401,64,1239
FL,12131,12,131,NA,Walton County,75305,60644,6187,4188,2512,1627,187,5550
FL,12133,12,133,NA,Washington County,25318,19484,924,3670,909,291,80,765
